ID,drydown,nutrient_deficiency,weed_cluster,water,endrow,double_plant,waterway,storm_damage,planter_skip
11TAQJ6ET_1995-8426-2507-8938,0,0,0,0,0,1,0,0,0
11IE4DKTR_6121-684-6633-1196,0,0,0,0,0,1,0,0,0
11TAQJ6ET_1124-8510-1636-9022,0,0,0,0,0,1,0,0,0
11TAQJ6ET_1567-8177-2079-8689,0,0,0,0,0,1,0,0,0
11TAQJ6ET_1749-948-2261-1460,0,0,0,0,0,1,0,0,0
11TAQJ6ET_1148-8089-1660-8601,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2034-926-2546-1438,0,0,0,0,0,1,0,0,0
11TAQJ6ET_1288-961-1800-1473,0,0,0,0,0,1,0,0,0
11IE4DKTR_11556-9586-12068-10098,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2617-4601-3129-5113,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2463-8297-2975-8809,0,0,0,0,0,1,0,0,0
11TAQJ6ET_1422-8427-1934-8939,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2687-904-3199-1416,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2829-4455-3341-4967,0,0,0,0,0,1,0,0,0
11TAQJ6ET_3196-7577-3708-8089,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2172-8089-2684-8601,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2684-7065-3196-7577,0,0,0,0,0,1,0,0,0
11TAQJ6ET_2172-7065-2684-7577,0,0,0,0,0,1,0,0,0
11TAQJ6ET_4732-8089-5244-8601,0,0,0,0,0,1,0,0,0
11TAQJ6ET_3199-904-3711-1416,0,0,0,0,0,1,0,0,0
11TAQJ6ET_3217-8547-3729-9059,0,0,0,0,0,1,0,0,0
11TAQJ6ET_3708-7577-4220-8089,0,0,0,0,0,1,0,0,0
11TAQJ6ET_3723-8668-4235-9180,0,0,0,0,0,1,0,0,0
11TAQJ6ET_4781-823-5293-1335,0,0,0,0,0,1,0,0,0
11TAQJ6ET_4017-862-4529-1374,0,0,0,0,0,1,0,0,0
11TAQJ6ET_4220-8089-4732-8601,0,0,0,0,0,1,0,0,0
11TAQJ6ET_4990-4308-5502-4820,0,0,0,0,0,1,0,0,0
11TAQJ6ET_3505-862-4017-1374,0,0,0,0,0,1,0,0,0
11TAQJ6ET_5244-8089-5756-8601,0,0,0,0,0,1,0,0,0
11TAQJ6ET_772-702-1284-1214,0,0,0,0,0,1,0,0,0
11TAQJ6ET_4220-7577-4732-8089,0,0,0,0,0,1,0,0,0
11TAQJ6ET_998-7891-1510-8403,0,0,0,0,0,1,0,0,0
11TAQJ6ET_5516-802-6028-1314,0,0,0,0,0,1,0,0,0
1238UQC9Y_4084-1739-4596-2251,0,0,0,1,0,0,0,0,0
11TAQJ6ET_924-880-1436-1392,0,0,0,0,0,1,0,0,0
1238UQC9Y_4084-2251-4596-2763,0,0,0,1,0,0,0,0,0
1238UQC9Y_4596-2251-5108-2763,0,0,0,1,0,0,0,0,0
167KTRRUZ_1464-10466-1976-10978,0,0,0,0,0,0,1,0,0
1238UQC9Y_4505-527-5017-1039,0,0,0,1,0,0,0,0,0
1238UQC9Y_4596-1739-5108-2251,0,0,0,1,0,0,0,0,0
1238UQC9Y_4889-4243-5401-4755,0,0,0,1,0,0,0,0,0
1238UQC9Y_5108-2251-5620-2763,0,0,0,1,0,0,0,0,0
1238UQC9Y_5401-4243-5913-4755,0,0,0,1,0,0,0,0,0
12JFH6CLF_3424-4138-3936-4650,0,0,0,0,0,0,0,0,1
12JFH6CLF_6615-4106-7127-4618,0,0,0,0,0,0,0,0,1
12JFH6CLF_6387-4231-6899-4743,0,0,0,0,0,0,0,0,1
1238UQC9Y_5108-1739-5620-2251,0,0,0,1,0,0,0,0,0
167KTRRUZ_1464-10978-1976-11490,0,0,0,0,0,0,1,0,0
167KTRRUZ_2011-4528-2523-5040,1,0,0,0,0,0,0,0,0
12JFH6CLF_733-448-1245-960,0,0,0,0,0,0,0,0,1
167KTRRUZ_2327-6970-2839-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_1499-5040-2011-5552,1,0,0,0,0,0,0,0,0
167KTRRUZ_1976-10466-2488-10978,0,0,0,0,0,0,1,0,0
167KTRRUZ_2011-5040-2523-5552,1,0,0,0,0,0,0,0,0
167KTRRUZ_2488-9954-3000-10466,0,0,0,0,0,0,1,0,0
167KTRRUZ_2839-6970-3351-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_3863-6970-4375-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_3351-6970-3863-7482,0,0,0,0,0,0,1,0,0
167KTRRUZ_2488-10466-3000-10978,0,0,0,0,0,0,1,0,0
167KTRRUZ_3512-9954-4024-10466,0,0,0,0,0,0,1,0,0
167KTRRUZ_3512-9442-4024-9954,0,0,0,0,0,0,1,0,0
167KTRRUZ_2523-4528-3035-5040,1,0,0,0,0,0,0,0,0
167KTRRUZ_4314-2522-4826-3034,1,0,0,0,0,0,0,0,0
167KTRRUZ_4024-9442-4536-9954,0,0,0,0,0,0,1,0,0
167KTRRUZ_4024-8930-4536-9442,0,0,0,0,0,0,1,0,0
167KTRRUZ_3000-9954-3512-10466,0,0,0,0,0,0,1,0,0
167KTRRUZ_3371-4147-3883-4659,1,0,0,0,0,0,0,0,0
167KTRRUZ_4375-6970-4887-7482,1,0,0,0,0,0,1,0,0
167KTRRUZ_4314-3034-4826-3546,1,0,0,0,0,0,0,0,0
167KTRRUZ_4536-8418-5048-8930,0,0,0,0,0,0,1,0,0
167KTRRUZ_4536-7394-5048-7906,1,0,0,0,0,0,0,0,0
167KTRRUZ_4536-8930-5048-9442,0,0,0,0,0,0,1,0,0
167KTRRUZ_5146-3640-5658-4152,1,0,0,0,0,0,0,0,0
167KTRRUZ_4634-4152-5146-4664,1,0,0,0,0,0,0,0,0
167KTRRUZ_4634-3640-5146-4152,1,0,0,0,0,0,0,0,0
167KTRRUZ_5146-4152-5658-4664,1,0,0,0,0,0,0,0,0
167KTRRUZ_4983-7378-5495-7890,1,0,0,0,0,0,0,0,0
167KTRRUZ_4989-12049-5501-12561,1,0,0,0,0,0,0,0,0
